date,ticker,price
2024-01-01,AAPL,150.44144830192408
2024-01-02,AAPL,150.62122784031789
2024-01-03,AAPL,152.34851021367263
2024-01-04,AAPL,153.6770342456256
2024-01-05,AAPL,154.79144356973566
2024-01-06,AAPL,155.74090208303497
2024-01-07,AAPL,155.9143186875917
2024-01-08,AAPL,155.28972976676746
2024-01-09,AAPL,155.6852228947636
2024-01-10,AAPL,155.0113415548589
2024-01-11,AAPL,154.48440554459015
2024-01-12,AAPL,154.30007280765884
2024-01-13,AAPL,153.2203324692092
2024-01-14,AAPL,152.18571115994953
2024-01-15,AAPL,151.57092288343782
2024-01-16,AAPL,149.60244334984233
2024-01-17,AAPL,150.8259596327854
2024-01-18,AAPL,149.21040171164915
2024-01-19,AAPL,151.00276477490542
2024-01-20,AAPL,150.76094821855136
